Postal Codes ,Community area,Population,Income per capita
"60626, 60645",   Rogers Park,55062,23939
"60626, 60645, 60659",    West Ridge,76215,23040
"60613, 60640, 60660",        Uptown,57973,35787
"60625, 60640, 60659, 60640",Lincoln Square,41715,37524
"60618, 60640, 60660",  North Center,35789,57123
"60613, 60657",     Lake View,100470,60058
60614,  Lincoln Park,67710,71551
"60606, 60610, 60611, 60654",Near North Side,88893,88669
60631,   Edison Park,11605,40959
"60631, 60646, 60656",  Norwood Park,37089,32875
"60630, 60646",Jefferson Park,26808,27751
"60630, 60646",   Forest Glen,19019,44164
"60635, 60630, 60646, 60659",    North Park,18842,26576
"60625, 60630",   Albany Park,51992,21323
"60634, 60630, 60641",  Portage Park,64307,24336
"60618, 60630, 60641",   Irving Park,54606,27249
"60634, 60706, 60707",       Dunning,43689,26282
"60634, 60707",    Montclaire,13830,22014
"60634, 60639, 60641, 60707",Belmont Cragin,79910,15461
"60639, 60641, 60647",       Hermosa,24144,15089
"60618, 60641",      Avondale,37368,20039
"60614, 60622, 60639, 60647,",  Logan Square,73046,31908
"60612, 60622, 60624  60639, 60647, 60651", Humboldt park,56427,13781
"60610, 60612, 60622, 60647",     West Town,84502,43198
"60644, 60651",        Austin,95260,15957
60624,West Garfield Park,17163,10934
"60612, 60624",East Garfield Park,19996,12961
"60606, 60607, 60608, 60612, 60661",Near West Side,62872,44689
"60608, 60623, 60624",North Lawndale,35947,12034
"60608, 60623, 60632",South Lawndale,74851,10402
"60608, 60616",Lower West Side,32888,16444
"60601, 60602, 60603, 60604, 60605, 60606",         The Loop,35880,65526
"60605, 606016",Near South Side,23620,59077
"60609, 606016", Armour Square,13455,16148
"60609, 60616, 60653",       Douglas,20781,23791
60653,       Oakland,6645,19252
60609,   Fuller Park,2439,10432
"60609, 60615, 60653",Grand Boulevard,22313,23472
"60615, 60653",       Kenwood,17189,35911
"60609, 60615, 60621, 60637",Washington Park,11502,13785
"60615, 60637",     Hyde Park,26827,39056
"60637, 60649",      Woodlawn,23268,18672
60649,   South Shore,50418,19398
"60619, 60620",       Chatham,31120,18881
"60617, 60619",   Avalon Park,9985,24454
60617, South Chicago,28263,16579
60619,      Burnside,2254,12515
"60617, 60619",Calumet Heights,13188,28887
"60619, 60628",      Roseland,42433,17949
60628,       Pullman,6613,20588
"60617, 60633", South Deering,14614,14685
60617,     East Side,23737,17104
"60628, 60643",  West Pullman,27742,16563
"60628, 60827",     Riverdale,7394,8201
"60617, 60633",     Hegewisch,9418,22677
"60629, 60632, 60638",Garfield Ridge,36396,26353
60632,Archer Heights,13142,16134
"60608, 60632", Brighton Park,44813,13089
"60608, 60609, 60632", McKinley Park,15767,16954
"60608, 60609, 60616",    Bridgeport,33637,22694
60609,      New City,39561,12765
"60629, 60632",   West Elsdon,19237,15754
"60609, 60629, 60632, 60636",     Gage Park,40873,12171
"60629, 60638",      Clearing,25891,25113
"60629, 60652",     West Lawn,33108,16907
"60629, 60636",  Chicago Lawn,53098,13231
60636,West Englewood,29929,11317
60621,     Englewood,25075,11888
"60619, 60620, 60621, 60637",Greater Grand Crossing,31766,17285
"60629, 60652",       Ashburn,43792,23482
60620,Auburn Gresham,46278,15528
"60620, 60643, 60655",       Beverly,20822,39523
"60620, 60628, 60643",Washington Height,27453,19713
60655,Mount Greenwood,19277,34381
"60643, 60655, 60827",   Morgan Park,22394,27149
60666,        O'Hare,12377,25828
"60640, 60660",     Edgewater,55965,33385