Community areas,Latitude,Longitude
   Rogers Park,42.0126,-87.6746
    West Ridge,42.0006,-87.6926
        Uptown,41.9765,-87.6533
Lincoln Square,41.9687,-87.6890
  North Center,41.9467,-87.6883
     Lake View,41.9398,-87.6589
  Lincoln Park,41.9255,-87.6488
Near North Side,41.9039,-87.6315
   Edison Park,42.0035,-87.8171
  Norwood Park,41.9858,-87.8069
Jefferson Park,41.9825,-87.7704
   Forest Glen,41.9962,-87.7642
    North Park,41.9828,-87.7228
   Albany Park,41.9683,-87.7280
  Portage Park,41.9532,-87.7646
   Irving Park,41.9538,-87.7193
       Dunning,41.9453,-87.8070
    Montclaire,41.9294,-87.7982
Belmont Cragin,41.9313,-87.7663
       Hermosa,41.9207,-87.7340
      Avondale,41.9415,-87.7025
  Logan Square,41.9231,-87.7093
 Humboldt park,41.8991,-87.7213
     West Town,41.8936,-87.6722
        Austin,41.8949,87.7654
West Garfield Park,41.8779,-87.7305
East Garfield Park,41.8810,-87.7012
Near West Side,41.8668,-87.6664
North Lawndale,41.8590,-87.7152
South Lawndale,41.8445,-87.7050
Lower West Side,41.8523,-87.6660
         The Loop,41.8786,-87.6251
Near South Side,41.8608,-87.6257
 Armour Square,41.8408,-87.6340
       Douglas,41.8347,-87.6206
       Oakland,41.8227,-87.6014
   Fuller Park,41.8091,-87.6334
Grand Boulevard,41.8131,-87.6178
       Kenwood,41.8095,-87.5933
Washington Park,41.7945,-87.6160
     Hyde Park,41.7948,-87.5917
      Woodlawn,41.7806,-87.5915
   South Shore,41.7590,-87.5700
       Chatham,41.7401,-87.6146
   Avalon Park,41.7442,-87.5856
 South Chicago,41.7397,-87.5544
      Burnside,41.7281,-87.5964
Calumet Heights,41.7298,-87.5705
      Roseland,41.7108,-87.6236
       Pullman,41.7076,-87.5942
 South Deering,41.6737,-87.5753
     East Side,41.7080,-87.5352
  West Pullman,41.6779,-87.6420
     Riverdale,41.6611,-87.6038
     Hegewisch,41.6555,-87.5459
Garfield Ridge,41.7927,-87.7623
Archer Heights,41.8079,-87.7236
 Brighton Park,41.8171,-87.6994
 McKinley Park,41.8316,-87.6729
    Bridgeport,41.8364,-87.6487
      New City,41.8067,87.6680
   West Elsdon,41.7931,-87.7231
     Gage Park,41.7935,-87.7036
      Clearing,41.7780,-87.7691
     West Lawn,41.7787,-87.7228
  Chicago Lawn,41.7718,-87.6932
West Englewood,41.7781,-87.6667
     Englewood,41.7753,-87.6416
Greater Grand Crossing,41.7657,-87.6153
       Ashburn,41.7497,-87.7120
Auburn Gresham,41.7434,-87.6562
       Beverly,41.7171,-87.6762
Washington Height,41.7176,-87.6431
Mount Greenwood,41.6916,-87.7008
   Morgan Park,41.6875,-87.6692
        O'Hare,41.9742,-87.9073
     Edgewater,41.9837,87.6601